Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""Reservasi_OR/Page_SIORA/input_44""), ""124"")",Chrome 148.0.7778.168,,,22-05-2026 10:27:11,22-05-2026 10:27:12,0.651s,PASSED
delay(5),Chrome 148.0.7778.168,,,22-05-2026 10:27:12,22-05-2026 10:27:17,5.016s,PASSED
"setText(findTestObject(""Reservasi_OR/Page_SIORA/input_7700 900000""), ""1241234"")",Chrome 148.0.7778.168,,,22-05-2026 10:27:17,22-05-2026 10:27:18,0.687s,PASSED
delay(5),Chrome 148.0.7778.168,,,22-05-2026 10:27:18,22-05-2026 10:27:23,5.017s,PASSED
"click(findTestObject(""Reservasi_OR/Page_SIORA/button_Continue to Tickets""))",Chrome 148.0.7778.168,,,22-05-2026 10:27:23,22-05-2026 10:27:23,0.367s,PASSED
delay(5),Chrome 148.0.7778.168,,,22-05-2026 10:27:23,22-05-2026 10:27:28,5.006s,PASSED
"click(findTestObject(""Reservasi_OR/Page_SIORA/button_Confirm""))",Chrome 148.0.7778.168,,,22-05-2026 10:27:28,22-05-2026 10:27:28,0.340s,PASSED
delay(5),Chrome 148.0.7778.168,,,22-05-2026 10:27:28,22-05-2026 10:27:33,5.013s,PASSED
"click(findTestObject(""Reservasi_OR/Page_SIORA/button_Continue to Tickets""))",Chrome 148.0.7778.168,,,22-05-2026 10:27:33,22-05-2026 10:27:34,0.336s,PASSED
delay(5),Chrome 148.0.7778.168,,,22-05-2026 10:27:34,22-05-2026 10:27:39,5.011s,PASSED
