Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Reservasi_OR/Page_SIORA/button_Komodo National Park""))",Chrome 148.0.7778.168,,,22-05-2026 10:43:56,22-05-2026 10:43:56,0.362s,PASSED
delay(5),Chrome 148.0.7778.168,,,22-05-2026 10:43:56,22-05-2026 10:44:01,5.014s,PASSED
"click(findTestObject(""Reservasi_OR/Page_SIORA/button_Continue to Tickets""))",Chrome 148.0.7778.168,,,22-05-2026 10:44:01,22-05-2026 10:44:02,0.380s,PASSED
delay(5),Chrome 148.0.7778.168,,,22-05-2026 10:44:02,22-05-2026 10:44:07,5.013s,PASSED
"setText(findTestObject(""Reservasi_OR/Page_SIORA/input_Alexander Thorne""), ""testing"")",Chrome 148.0.7778.168,,,22-05-2026 10:44:07,22-05-2026 10:44:07,0.701s,PASSED
delay(5),Chrome 148.0.7778.168,,,22-05-2026 10:44:07,22-05-2026 10:44:12,5.017s,PASSED
"setText(findTestObject(""Reservasi_OR/Page_SIORA/input_Passport or National ID""), ""0123456789"")",Chrome 148.0.7778.168,,,22-05-2026 10:44:12,22-05-2026 10:44:13,0.709s,PASSED
delay(5),Chrome 148.0.7778.168,,,22-05-2026 10:44:13,22-05-2026 10:44:18,5.011s,PASSED
"setText(findTestObject(""Reservasi_OR/Page_SIORA/input_e.g. London""), ""testing"")",Chrome 148.0.7778.168,,,22-05-2026 10:44:18,22-05-2026 10:44:19,0.689s,PASSED
delay(5),Chrome 148.0.7778.168,,,22-05-2026 10:44:19,22-05-2026 10:44:24,5.004s,PASSED
"setText(findTestObject(""Reservasi_OR/Page_SIORA/input_44""), ""124"")",Chrome 148.0.7778.168,,,22-05-2026 10:44:24,22-05-2026 10:44:25,0.649s,PASSED
delay(5),Chrome 148.0.7778.168,,,22-05-2026 10:44:25,22-05-2026 10:44:30,5.019s,PASSED
"setText(findTestObject(""Reservasi_OR/Page_SIORA/input_7700 900000""), ""1241234"")",Chrome 148.0.7778.168,,,22-05-2026 10:44:30,22-05-2026 10:44:30,0.686s,PASSED
delay(5),Chrome 148.0.7778.168,,,22-05-2026 10:44:30,22-05-2026 10:44:35,5.016s,PASSED
"click(findTestObject(""Reservasi_OR/Page_SIORA/button_Continue to Tickets""))",Chrome 148.0.7778.168,,,22-05-2026 10:44:35,22-05-2026 10:44:36,0.391s,PASSED
delay(5),Chrome 148.0.7778.168,,,22-05-2026 10:44:36,22-05-2026 10:44:41,5.012s,PASSED
"click(findTestObject(""Reservasi_OR/Page_SIORA/button_Confirm""))",Chrome 148.0.7778.168,,,22-05-2026 10:44:41,22-05-2026 10:44:41,0.330s,PASSED
delay(5),Chrome 148.0.7778.168,,,22-05-2026 10:44:41,22-05-2026 10:44:46,5.006s,PASSED
"click(findTestObject(""Reservasi_OR/Page_SIORA/button_Continue to Tickets""))",Chrome 148.0.7778.168,,,22-05-2026 10:44:46,22-05-2026 10:44:46,0.341s,PASSED
delay(5),Chrome 148.0.7778.168,,,22-05-2026 10:44:46,22-05-2026 10:44:51,5.011s,PASSED
